CityId,name
1,Lodan Wetan
2,Остров Пасхи
3,Rennes
4,Anton
5,Vinhedo
6,Pozhang
7,Dadong
8,Al Midyah
9,Morioka-shi
10,Chayek
11,Dalubian
12,Zhosaly
13,Tolkmicko
14,Baruchowo
15,Xinpu
16,Korczew
17,Telde
18,Skópelos
19,Arias
20,Barcelona
21,Tournon-sur-Rhône
22,Halton
23,Fatufeto
24,Reforma
25,Louriceira
26,Yangcun
27,Kotel
28,Lexington
29,Czyżowice
30,Oof
31,Tallbīsah
32,Klavdiyevo-Tarasove
33,Nikolayevskaya
34,Taurage
35,Zaranj
36,Bojonegoro
37,Tselinnoye
38,Gogosuket
39,Novi Karlovci
40,Kotakan Selatan
41,Skrzydlna
42,Nikolo-Pavlovskoye
43,Tirhanimîne
44,Kombissiri
45,Melekeok Village
46,Cerme Kidul
47,Detroit
48,El Pardo
49,Karangmangu
50,Xiwanzi
51,Nis’oni
52,Guardizela
53,Vyborg
54,Kyrylivka
55,Skellefteå
56,Galtek
57,Remscheid
58,Pio Duran
59,Staraya Toropa
60,Marilao
61,Topdac
62,Kuchinarai
63,Garahaji
64,Mabugang
65,Shenji
66,Sadská
67,Rosario
68,Geser
69,Sukamulya
70,Aizi
71,Bojongsari
72,Nyazura
73,Haizigou
74,Onsŏng
75,Soissons
76,Rijswijk
77,Khorinsk
78,Damietta
79,Syzran’
80,Totoras
81,Mahābād
82,Likino-Dulevo
83,Olavarría
84,Mönhbulag
85,Paris 16
86,Wensu
87,Lumby
88,Pljevlja
89,Shatki
90,Revolucion
91,Huacaschuque
92,Wenheng
93,Mehtar Lām
94,Qingkenpao
95,Dzerzhinskiy
96,Mirocin
97,Alofi
98,Nghi Xuân
99,Kribi
100,Chyňava
101,Kihangara
102,Pola
103,Dzvinogrud
104,Međa
105,Meirinhas
106,Esparza
107,Longcun
108,Penanggapan
109,Všenory
110,Ikeda
111,Taiyangling
112,Alès
113,Corpus Christi
114,Hicksville
115,Lhoknga
116,Miaoshou
117,Krajan Gajahmati
118,Nong Khai
119,Duas Igrejas
120,Ōiso
121,Nässjö
122,Luowan
123,Árta
124,Orléans
125,Shakhtars’k
126,Tarnowiec
127,Kamru
128,Viga
129,Daogao
130,Norton
131,Igarra
132,Debre Zeyit
133,Guanshui
134,Shangdongjie
135,Bayt ‘Ūr at Taḩtā
136,Jatiwangi
137,Okrouhlice
138,Marttila
139,Horqueta
140,Bianba
141,Slavs’ke
142,Poręba Spytkowska
143,Libiąż
144,Dobrošte
145,Brwinów
146,Khust
147,Tene
148,Gunajaya
149,Santo Antônio de Pádua
150,Gaowu
151,Vishow
152,Chiang Rai
153,Romilly-sur-Seine
154,Novovasylivka
155,Meïganga
156,Triesenberg
157,Pato Branco
158,Huanshan
159,Uyskoye
160,Solomenskoye
161,Sydney
162,Xishui
163,Akouda
164,Yasugichō
165,San Andros
166,Feteira Grande
167,Jiacun
168,Surcubamba
169,Fengcun
170,Xintang
171,Carig
172,Bururi
173,Bojong
174,Tilburg
175,Tunasbaru
176,Honghua’erji
177,Yuxarı Aran
178,Barabedang
179,Sinegorskiy
180,Turbiv
181,Gualeguay
182,Peterhof
183,Wugong
184,Igarapava
185,Pedregal
186,Marco
187,Bīr Nabālā
188,Tacoma
189,Strängnäs
190,Tucuran
191,Damasak
192,Le Cannet
193,Heshui
194,Sindangbarang
195,Storozhynets’
196,Klapagading
197,Landvetter
198,Dunhao
199,Askersund
200,Alexandria
201,Niños Heroes
202,Lavadorinhos
203,Ledok
204,Cergy-Pontoise
205,Aḑ Ḑil‘
206,Hangwula
207,Casa Nova
208,Krasnosilka
209,Buffalo
210,Regla
211,Cabaritan East
212,Novotroitskaya
213,Niba
214,Boskovice
215,Laguna
216,Saijō
217,Wilwerwiltz
218,Siquirres
219,Yunhe
220,Ash Shuyūkh
221,Ustyuzhna
222,Watrous
223,Pader Palwo
224,Solnechnyy
225,Morelos
226,Igurusi
227,Tadine
228,Yevlakh
229,Åby
230,Providence
231,Safed
232,Pallasovka
233,Avaré
234,Bergem
235,Clodomira
236,Maubin
237,Souran
238,Zaječov
239,Pierzchnica
240,Parion
241,North Battleford
242,Hammam Sousse
243,Nybro
244,Anār Darah
245,Saýat
246,Fuming
247,Södertälje
248,Zeerust
249,Lianga
250,São Martinho
251,Dongxiang
252,Miracema
253,Ashmūn
254,Viso
255,Villeneuve-la-Garenne
256,Obiliq
257,Guadalupe Victoria
258,Lewo
259,Wang Muang
260,Jinxiu
261,Norrköping
262,Pagsanahan Norte
263,Ulster Spring
264,Helsingborg
265,Brnaze
266,Ożarowice
267,Taihe Chengguanzhen
268,Dailing
269,Palcza
270,Taosha
271,Jojoima
272,Shizunai-furukawachō
273,Belén de los Andaquíes
274,Plasy
275,Noginsk
276,Patambuco
277,Tianxin
278,Valencia
279,Kapatagan
280,Wangmang
281,Karlskoga
282,Hucheng
283,Nybro
284,Radenković
285,Itacarambi
